environment,checkpoint_stage,mode,seed,return,ggr_success,episode_length
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260863,-521.642437016799,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260864,-389.9162545161175,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260865,-798.6432744448472,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260866,-382.0589992651886,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260867,-1526.2464631967784,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260868,-22.349850938092636,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260869,-74.66901960265602,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260870,-2391.909226908248,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260871,-401.8602888600049,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260872,-744.6061211682568,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260873,-814.1993845575813,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260874,-1480.654346338709,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260875,-598.2456698407884,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260876,-1783.733661292427,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260877,-207.05716151842157,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260878,-472.61792218399836,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260879,-421.991131943879,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260880,-2208.4603754429418,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260881,-2942.7398769544916,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260882,-965.7666916459254,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260883,-2180.5793459363017,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260884,-367.8161511078607,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260885,-273.3726103215007,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260886,-19.05470926381317,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260887,-1421.9082526184066,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260888,-370.49659469177925,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260889,-490.60716156044964,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260890,-776.1325737465222,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260891,-340.70540576637535,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260892,-86.67030726248997,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260893,-382.9367388249898,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260894,-191.43749635362,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260895,-220.90305071766386,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260896,-23.823563250107824,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260897,-795.4924121494181,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260898,-1571.624325951215,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260899,-181.46452460850537,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260900,-704.7393251897327,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260801,-487.85515185744055,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260802,-1579.11284823472,True,1000
