environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,58,14,1000,74854063,74.854063
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,59,14,1000,68447453,68.447453
CartpoleSwingupEnvLong-v0,PPO,guarded,base,60,15,1000,73163138,73.163138
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,61,15,1000,65502517,65.502517
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,62,15,1000,69823108,69.82310799999999
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,63,15,1000,25559,0.025559000000000002
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,64,16,1000,72387409,72.387409
CartpoleSwingupEnvLong-v0,PPO,guarded,base,65,16,1000,68350519,68.350519
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,66,16,1000,62418074,62.418074
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,67,16,1000,25409,0.025408999999999998
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,68,17,1000,25218,0.025218
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,69,17,1000,70621029,70.621029
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,70,17,1000,62243480,62.243480000000005
CartpoleSwingupEnvLong-v0,PPO,guarded,base,71,17,1000,70791795,70.791795
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,72,18,1000,66616802,66.61680199999999
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,73,18,1000,25378,0.025378
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,74,18,1000,74651667,74.651667
CartpoleSwingupEnvLong-v0,PPO,guarded,base,75,18,1000,69069821,69.06982099999999
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,76,19,1000,75841758,75.841758
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,77,19,1000,63445854,63.445854
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,78,19,1000,25268,0.025268000000000002
CartpoleSwingupEnvLong-v0,PPO,guarded,base,79,19,1000,71427889,71.427889
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,80,20,1000,63281621,63.281621
CartpoleSwingupEnvLong-v0,PPO,guarded,base,81,20,1000,73400912,73.40091199999999
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,82,20,1000,78236164,78.236164
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,83,20,1000,27382,0.027382
CartpoleSwingupEnvLong-v0,PPO,guarded,base,84,21,1000,75000042,75.00004200000001
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,85,21,1000,25409,0.025408999999999998
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,86,21,1000,63403443,63.403442999999996
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,87,21,1000,73264712,73.264712
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,88,22,1000,64054986,64.054986
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,89,22,1000,79100914,79.100914
CartpoleSwingupEnvLong-v0,PPO,guarded,base,90,22,1000,78819607,78.819607
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,91,22,1000,27353,0.027353000000000002
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,92,23,1000,74337578,74.337578
CartpoleSwingupEnvLong-v0,PPO,guarded,base,93,23,1000,74113391,74.11339100000001
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,94,23,1000,27161,0.027161
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,95,23,1000,63701651,63.701651
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,96,24,1000,62531389,62.531389000000004
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,97,24,1000,27011,0.027011
CartpoleSwingupEnvLong-v0,PPO,guarded,base,98,24,1000,74119061,74.119061
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,99,24,1000,79927089,79.92708900000001
CartpoleSwingupEnvLong-v0,PPO,guarded,base,100,25,1000,71804858,71.804858
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,101,25,1000,66437981,66.437981
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,102,25,1000,69239354,69.239354
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,103,25,1000,25719,0.025719000000000002
CartpoleSwingupEnvLong-v0,PPO,guarded,base,104,26,1000,69147529,69.14752899999999
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,105,26,1000,58251787,58.25178699999999
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,106,26,1000,70436478,70.43647800000001
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,107,26,1000,33444,0.033444
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,108,27,1000,58161174,58.161174
CartpoleSwingupEnvLong-v0,PPO,guarded,base,109,27,1000,74755024,74.755024
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,110,27,1000,76828950,76.82894999999999
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,111,27,1000,25168,0.025168
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,112,28,1000,25188,0.025188
CartpoleSwingupEnvLong-v0,PPO,guarded,base,113,28,1000,71484467,71.48446700000001
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,114,28,1000,62876127,62.876127000000004
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,115,28,1000,70996705,70.996705
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,116,29,1000,73323965,73.323965
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,117,29,1000,63175779,63.175779000000006
CartpoleSwingupEnvLong-v0,PPO,guarded,base,118,29,1000,71174675,71.17467500000001
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,119,29,1000,25098,0.025098
UnderwaterDrone-v0,TD3,guarded,native_logic,0,0,1000,18315,0.018315
UnderwaterDrone-v0,TD3,guarded,base,1,0,1000,90600918,90.60091800000001
UnderwaterDrone-v0,TD3,guarded,wrapped,2,0,1000,279057993,279.057993
UnderwaterDrone-v0,TD3,guarded,critic,3,0,1000,182902410,182.90241
UnderwaterDrone-v0,TD3,guarded,critic,4,1,1000,172170770,172.17076999999998
UnderwaterDrone-v0,TD3,guarded,native_logic,5,1,1000,13926,0.013926000000000001
UnderwaterDrone-v0,TD3,guarded,base,6,1,1000,82233869,82.23386900000001
UnderwaterDrone-v0,TD3,guarded,wrapped,7,1,1000,264389614,264.389614
UnderwaterDrone-v0,TD3,guarded,critic,8,2,1000,183577407,183.577407
UnderwaterDrone-v0,TD3,guarded,native_logic,9,2,1000,15239,0.015239
UnderwaterDrone-v0,TD3,guarded,wrapped,10,2,1000,275353957,275.353957
UnderwaterDrone-v0,TD3,guarded,base,11,2,1000,88121699,88.12169899999999
UnderwaterDrone-v0,TD3,guarded,wrapped,12,3,1000,277906897,277.906897
