environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
UnderwaterDrone-v0,TD3,conservative,critic,21,5,1000,160493168,160.493168
UnderwaterDrone-v0,TD3,conservative,base,22,5,1000,77509518,77.509518
UnderwaterDrone-v0,TD3,conservative,wrapped,23,5,1000,244720399,244.72039900000001
UnderwaterDrone-v0,TD3,conservative,wrapped,24,6,1000,252346896,252.34689600000002
UnderwaterDrone-v0,TD3,conservative,native_logic,25,6,1000,14198,0.014198
UnderwaterDrone-v0,TD3,conservative,critic,26,6,1000,168386383,168.386383
UnderwaterDrone-v0,TD3,conservative,base,27,6,1000,82396830,82.39683000000001
UnderwaterDrone-v0,TD3,conservative,base,28,7,1000,78016906,78.016906
UnderwaterDrone-v0,TD3,conservative,critic,29,7,1000,171413697,171.41369699999998
UnderwaterDrone-v0,TD3,conservative,wrapped,30,7,1000,259121647,259.121647
UnderwaterDrone-v0,TD3,conservative,native_logic,31,7,1000,13405,0.013404999999999999
UnderwaterDrone-v0,TD3,conservative,wrapped,32,8,1000,258030045,258.03004500000003
UnderwaterDrone-v0,TD3,conservative,base,33,8,1000,81240024,81.240024
UnderwaterDrone-v0,TD3,conservative,critic,34,8,1000,168310298,168.31029800000002
UnderwaterDrone-v0,TD3,conservative,native_logic,35,8,1000,14939,0.014939000000000001
UnderwaterDrone-v0,TD3,conservative,wrapped,36,9,1000,251935350,251.93535
UnderwaterDrone-v0,TD3,conservative,native_logic,37,9,1000,14408,0.014407999999999999
UnderwaterDrone-v0,TD3,conservative,base,38,9,1000,80043522,80.043522
UnderwaterDrone-v0,TD3,conservative,critic,39,9,1000,158235902,158.235902
UnderwaterDrone-v0,TD3,conservative,critic,40,10,1000,170434759,170.43475899999999
UnderwaterDrone-v0,TD3,conservative,wrapped,41,10,1000,260730966,260.73096599999997
UnderwaterDrone-v0,TD3,conservative,base,42,10,1000,85108933,85.10893300000001
UnderwaterDrone-v0,TD3,conservative,native_logic,43,10,1000,14127,0.014127
UnderwaterDrone-v0,TD3,conservative,wrapped,44,11,1000,276657554,276.657554
UnderwaterDrone-v0,TD3,conservative,critic,45,11,1000,170584665,170.584665
UnderwaterDrone-v0,TD3,conservative,base,46,11,1000,82293623,82.29362300000001
UnderwaterDrone-v0,TD3,conservative,native_logic,47,11,1000,13415,0.013415
UnderwaterDrone-v0,TD3,conservative,critic,48,12,1000,174357582,174.357582
UnderwaterDrone-v0,TD3,conservative,base,49,12,1000,82212990,82.21299
UnderwaterDrone-v0,TD3,conservative,wrapped,50,12,1000,259638864,259.638864
UnderwaterDrone-v0,TD3,conservative,native_logic,51,12,1000,13556,0.013555999999999999
UnderwaterDrone-v0,TD3,conservative,wrapped,52,13,1000,251298506,251.298506
UnderwaterDrone-v0,TD3,conservative,native_logic,53,13,1000,13465,0.013465
UnderwaterDrone-v0,TD3,conservative,base,54,13,1000,78090908,78.090908
UnderwaterDrone-v0,TD3,conservative,critic,55,13,1000,163160035,163.160035
UnderwaterDrone-v0,TD3,conservative,critic,56,14,1000,167042229,167.042229
UnderwaterDrone-v0,TD3,conservative,native_logic,57,14,1000,13767,0.013767
UnderwaterDrone-v0,TD3,conservative,base,58,14,1000,82705318,82.705318
UnderwaterDrone-v0,TD3,conservative,wrapped,59,14,1000,266727655,266.727655
UnderwaterDrone-v0,TD3,conservative,wrapped,60,15,1000,266713898,266.713898
UnderwaterDrone-v0,TD3,conservative,critic,61,15,1000,171513096,171.513096
UnderwaterDrone-v0,TD3,conservative,base,62,15,1000,84755760,84.75576
UnderwaterDrone-v0,TD3,conservative,native_logic,63,15,1000,13927,0.013927
UnderwaterDrone-v0,TD3,conservative,base,64,16,1000,79946046,79.946046
UnderwaterDrone-v0,TD3,conservative,native_logic,65,16,1000,13296,0.013295999999999999
UnderwaterDrone-v0,TD3,conservative,critic,66,16,1000,180055149,180.055149
UnderwaterDrone-v0,TD3,conservative,wrapped,67,16,1000,267820419,267.820419
UnderwaterDrone-v0,TD3,conservative,wrapped,68,17,1000,255540266,255.540266
UnderwaterDrone-v0,TD3,conservative,native_logic,69,17,1000,14056,0.014055999999999999
UnderwaterDrone-v0,TD3,conservative,base,70,17,1000,81531098,81.531098
UnderwaterDrone-v0,TD3,conservative,critic,71,17,1000,169586692,169.586692
UnderwaterDrone-v0,TD3,conservative,wrapped,72,18,1000,271724184,271.72418400000004
UnderwaterDrone-v0,TD3,conservative,base,73,18,1000,87733529,87.73352899999999
UnderwaterDrone-v0,TD3,conservative,native_logic,74,18,1000,14498,0.014497999999999999
UnderwaterDrone-v0,TD3,conservative,critic,75,18,1000,180017227,180.01722700000002
UnderwaterDrone-v0,TD3,conservative,base,76,19,1000,81338692,81.338692
UnderwaterDrone-v0,TD3,conservative,native_logic,77,19,1000,14768,0.014768
UnderwaterDrone-v0,TD3,conservative,critic,78,19,1000,175241067,175.24106700000002
UnderwaterDrone-v0,TD3,conservative,wrapped,79,19,1000,272997604,272.99760399999997
UnderwaterDrone-v0,TD3,conservative,wrapped,80,20,1000,270101841,270.10184100000004
UnderwaterDrone-v0,TD3,conservative,native_logic,81,20,1000,13366,0.013366
UnderwaterDrone-v0,TD3,conservative,critic,82,20,1000,173801190,173.80119
UnderwaterDrone-v0,TD3,conservative,base,83,20,1000,76641001,76.641001
UnderwaterDrone-v0,TD3,conservative,wrapped,84,21,1000,255623645,255.62364499999998
UnderwaterDrone-v0,TD3,conservative,critic,85,21,1000,169072371,169.072371
UnderwaterDrone-v0,TD3,conservative,native_logic,86,21,1000,13576,0.013576000000000001
UnderwaterDrone-v0,TD3,conservative,base,87,21,1000,80389021,80.389021
